City,ATL,ATH,COL,SAV,ALB,MIL,AUG,BLA,DOV,MET,SMI,MAC
ATL,0,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
ATH,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
COL,2,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2
SAV,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
ALB,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,1,1
MIL,NaN,NaN,NaN,NaN,NaN,0,1,NaN,1,NaN,NaN,2
AUG,NaN,NaN,NaN,NaN,NaN,1,0,NaN,NaN,NaN,NaN,NaN
BLA,NaN,NaN,NaN,NaN,1,NaN,NaN,0,NaN,NaN,NaN,NaN
DOV,NaN,NaN,NaN,1,NaN,1,NaN,NaN,0,1,NaN,NaN
MET,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,NaN
SMI,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,0,1
MAC,1,1,2,NaN,1,2,NaN,NaN,NaN,NaN,1,0